status,path,object_id,recovery_commit,classification,disposition,recovery_command
?,.agents/skills/graduate-to-trigger/SKILL.md,467c9b55ed0ce10b4ca57ec2c6c1d982d45bcf0a,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 467c9b55ed0ce10b4ca57ec2c6c1d982d45bcf0a > .agents/skills/graduate-to-trigger/SKILL.md
?,.agents/skills/research-agent/SKILL.md,0766459564c66ed6dbdaab0835f336bab6cdbabc,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 0766459564c66ed6dbdaab0835f336bab6cdbabc > .agents/skills/research-agent/SKILL.md
?,.agents/skills/research-process-builder/SKILL.md,3b59aa9426bb9bebd6cfb1952f4595e8a6004dd9,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 3b59aa9426bb9bebd6cfb1952f4595e8a6004dd9 > .agents/skills/research-process-builder/SKILL.md
?,.agents/skills/research-process-builder/references/build-loop.md,80574931e002b996c825565f7c8b4327c4145a0e,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 80574931e002b996c825565f7c8b4327c4145a0e > .agents/skills/research-process-builder/references/build-loop.md
?,.agents/skills/research-process-builder/references/interactive-flow.md,63398bac7568941e5468446338898adce098ecc9,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 63398bac7568941e5468446338898adce098ecc9 > .agents/skills/research-process-builder/references/interactive-flow.md
?,.agents/skills/research-process-builder/references/learnings.md,3a4eded04d4f077545bd62e204b755aa6bd93820,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 3a4eded04d4f077545bd62e204b755aa6bd93820 > .agents/skills/research-process-builder/references/learnings.md
?,.agents/skills/spider-agent/REFERENCE.md,fc5d9046dd8d9141cbb4aca24eb350880cfb8389,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show fc5d9046dd8d9141cbb4aca24eb350880cfb8389 > .agents/skills/spider-agent/REFERENCE.md
?,.agents/skills/spider-agent/SKILL.md,b83a5e0544def9d1c3ffa56ede92f3edffb8e7b2,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show b83a5e0544def9d1c3ffa56ede92f3edffb8e7b2 > .agents/skills/spider-agent/SKILL.md
?,.agents/skills/trigger-agents/SKILL.md,81666a910e0d47220b5d7a7345417650284d7a02,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 81666a910e0d47220b5d7a7345417650284d7a02 > .agents/skills/trigger-agents/SKILL.md
?,.agents/skills/trigger-agents/references/ai-tool.md,8258afcd8415262652158898ea02002d75370bfe,e3932d55217c29ac28eca16fdc7e6f6c5c3e3337,durable-research,document-only,git show 8258afcd8415262652158898ea02002d75370bfe > .agents/skills/trigger-agents/references/ai-tool.md
